model_id,downloads,tasks,parameters,tags,created_at,license,datasets,model_name,metrics,base_model,languages
openbmb/MiniCPM-o-2_6,751813,any-to-any,8674997028.0,"['transformers', 'safetensors', 'minicpmo', 'feature-extraction', 'minicpm-o', 'omni', 'vision', 'ocr', 'multi-image', 'video', 'custom_code', 'audio', 'speech', 'voice cloning', 'live Streaming', 'realtime speech conversation', 'asr', 'tts', 'any-to-any', 'multilingual', 'dataset:openbmb/RLAIF-V-Dataset', 'arxiv:2405.17220', 'arxiv:2408.01800', 'region:us']",2025-01-12 07:40:10+00:00,,['openbmb/RLAIF-V-Dataset'],,,,['multilingual']
deepseek-ai/Janus-Pro-7B,246601,any-to-any,7000000000.0,"['transformers', 'pytorch', 'multi_modality', 'muiltimodal', 'text-to-image', 'unified-model', 'any-to-any', 'arxiv:2501.17811', 'license:mit', 'endpoints_compatible', 'region:us']",2025-01-26 12:05:50+00:00,mit,,,,,
deepseek-ai/Janus-Pro-1B,74218,any-to-any,1000000000.0,"['transformers', 'pytorch', 'multi_modality', 'muiltimodal', 'text-to-image', 'unified-model', 'any-to-any', 'arxiv:2501.17811', 'license:mit', 'endpoints_compatible', 'region:us']",2025-01-26 12:07:49+00:00,mit,,,,,
openbmb/MiniCPM-o-2_6-int4,29277,any-to-any,2968066596.0,"['transformers', 'safetensors', 'minicpmo', 'feature-extraction', 'minicpm-o', 'omni', 'vision', 'ocr', 'multi-image', 'video', 'custom_code', 'audio', 'speech', 'voice cloning', 'live Streaming', 'realtime speech conversation', 'asr', 'tts', 'any-to-any', 'multilingual', 'dataset:openbmb/RLAIF-V-Dataset', 'base_model:openbmb/MiniCPM-o-2_6', 'base_model:quantized:openbmb/MiniCPM-o-2_6', '4-bit', 'gptq', 'region:us']",2025-01-13 09:04:31+00:00,,['openbmb/RLAIF-V-Dataset'],,,['openbmb/MiniCPM-o-2_6'],['multilingual']
openbmb/MiniCPM-o-2_6-gguf,17398,any-to-any,,"['gguf', 'minicpm-o', 'any-to-any', 'base_model:openbmb/MiniCPM-o-2_6', 'base_model:quantized:openbmb/MiniCPM-o-2_6', 'endpoints_compatible', 'region:us', 'conversational']",2025-01-13 07:01:20+00:00,,,,,['openbmb/MiniCPM-o-2_6'],
deepseek-ai/Janus-1.3B,11480,any-to-any,2089297547.0,"['transformers', 'safetensors', 'multi_modality', 'muiltimodal', 'text-to-image', 'unified-model', 'any-to-any', 'arxiv:2410.13848', 'license:mit', 'endpoints_compatible', 'region:us']",2024-10-18 04:19:26+00:00,mit,,,,,
VARGPT-family/VARGPT_LLaVA-v1,4343,any-to-any,9278699503.0,"['transformers', 'safetensors', 'vargpt_llava', 'text2text-generation', 'any-to-any', 'en', 'dataset:VARGPT-family/VARGPT_datasets', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2025-01-21 14:54:50+00:00,apache-2.0,['VARGPT-family/VARGPT_datasets'],,"['accuracy', 'f1']",,['en']
deepseek-ai/JanusFlow-1.3B,4247,any-to-any,2046367504.0,"['transformers', 'safetensors', 'multi_modality', 'muiltimodal', 'text-to-image', 'unified-model', 'any-to-any', 'arxiv:2411.07975', 'license:mit', 'endpoints_compatible', 'region:us']",2024-11-12 06:39:25+00:00,mit,,,,,
THUdyh/Ola-7b,3188,any-to-any,8879408751.0,"['safetensors', 'ola_qwen', 'any-to-any', 'en', 'zh', 'dataset:HuggingFaceFV/finevideo', 'arxiv:2502.04328', 'base_model:Qwen/Qwen2.5-7B-Instruct', 'base_model:finetune:Qwen/Qwen2.5-7B-Instruct', 'license:apache-2.0', 'region:us']",2025-01-25 16:55:07+00:00,apache-2.0,['HuggingFaceFV/finevideo'],,,['Qwen/Qwen2.5-7B-Instruct'],"['en', 'zh']"
Alpha-VLLM/Lumina-mGPT-7B-768,2824,any-to-any,7013158912.0,"['transformers', 'safetensors', 'chameleon', 'text2text-generation', 'Any2Any', 'any-to-any', 'arxiv:2408.02657', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2024-07-29 13:19:11+00:00,,,,,,
